Land Type,Price,Price per m2,Area,City
Đất nền dự án • Ngang 5 m,"2,35 tỷ",24 tr/m²,100 m²,Quảng Nam
"4 PN • Nhà mặt phố, mặt tiền","3,6 tỷ",19 tr/m²,185 m²,Đồng Nai
"3 PN • Nhà ngõ, hẻm","3,35 tỷ",70 tr/m²,48 m²,Đà Nẵng
3 PN • Chung cư,"2,85 tỷ",32 tr/m²,90 m²,Tp Hồ Chí Minh
"2 PN • Nhà mặt phố, mặt tiền","2,35 tỷ",16 tr/m²,150 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm","3,65 tỷ",65 tr/m²,56 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","4,39 tỷ",108 tr/m²,41 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm",5 tỷ,54 tr/m²,93 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm",5 tỷ,78 tr/m²,64 m²,Tp Hồ Chí Minh
"4 PN • Hướng Tây Bắc • Nhà mặt phố, mặt tiền","7,5 tỷ",89 tr/m²,84 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","3,6 tỷ",106 tr/m²,34 m²,Tp Hồ Chí Minh
2 PN • Hướng Tây Bắc • Chung cư,"1,7 tỷ",24 tr/m²,72 m²,Đà Nẵng
"5 PN • Nhà ngõ, hẻm","5,5 tỷ",87 tr/m²,63 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",5 tỷ,60 tr/m²,83 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,2 tỷ",87 tr/m²,60 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Bắc • Nhà ngõ, hẻm","2,38 tỷ",82 tr/m²,29 m²,Tp Hồ Chí Minh
5 PN • Nhà biệt thự,"8,5 tỷ",15 tr/m²,557 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm",5 tỷ,83 tr/m²,60 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","4,6 tỷ",170 tr/m²,27 m²,Tp Hồ Chí Minh
"3 PN • Hướng Tây Nam • Nhà ngõ, hẻm","4,95 tỷ",99 tr/m²,50 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm",5 tỷ,93 tr/m²,54 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm",7 tỷ,159 tr/m²,44 m²,Hà Nội
"2 PN • Hướng Đông Nam • Nhà ngõ, hẻm",990 triệu,28 tr/m²,35 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5.1 m,519 triệu,"3,7 tr/m²",139 m²,Tây Ninh
"2 PN • Nhà ngõ, hẻm","3,95 tỷ",94 tr/m²,42 m²,Tp Hồ Chí Minh
3 PN • Hướng Nam • Nhà phố liền kề,"2,3 tỷ",24 tr/m²,95 m²,Đồng Nai
Đất thổ cư • Ngang 5 m,"1,039 tỷ",13 tr/m²,80 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4 m,"3,906 tỷ",69 tr/m²,57 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 15 m,550 triệu,"1,8 tr/m²",300 m²,Tây Ninh
Đất nền dự án • Ngang 5 m,"3,2 tỷ",32 tr/m²,100 m²,Đà Nẵng
"3 PN • Nhà ngõ, hẻm","4,7 tỷ",94 tr/m²,50 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Nam • Nhà ngõ, hẻm","1,45 tỷ",36 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",5 tỷ,80 tr/m²,63 m²,Tp Hồ Chí Minh
3 PN • Chung cư,21 tỷ,150 tr/m²,140 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"20,5 tỷ",289 tr/m²,71 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"10,2 tỷ",179 tr/m²,57 m²,Tp Hồ Chí Minh
2 PN • Chung cư,19 tỷ,264 tr/m²,72 m²,Tp Hồ Chí Minh
4 PN • Chung cư,38 tỷ,224 tr/m²,170 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","3,78 tỷ",68 tr/m²,56 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,4 tỷ",84 tr/m²,64 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây • Nhà ngõ, hẻm","1,35 tỷ",41 tr/m²,33 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5 m,"3,5 tỷ",35 tr/m²,100 m²,Đà Nẵng
Đất thổ cư • Ngang 5 m,"2,65 tỷ",27 tr/m²,100 m²,Đà Nẵng
"5 PN • Nhà ngõ, hẻm",5 tỷ,90 tr/m²,55 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,6 tỷ",133 tr/m²,27 m²,Tp Hồ Chí Minh
1 PN • Hướng Tây Bắc • Chung cư,"2,828 tỷ",66 tr/m²,43 m²,Hà Nội
"3 PN • Nhà ngõ, hẻm","5,6 tỷ",92 tr/m²,61 m²,Tp Hồ Chí Minh
2 PN • Hướng Nam • Chung cư,3 tỷ,42 tr/m²,72 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông • Nhà ngõ, hẻm","7,545 tỷ",216 tr/m²,35 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4 m,"6,2 tỷ",63 tr/m²,98 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","6,5 tỷ",93 tr/m²,70 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,999 tỷ",95 tr/m²,63 m²,Tp Hồ Chí Minh
2 PN • Chung cư,15 tỷ,192 tr/m²,78 m²,Tp Hồ Chí Minh
2 PN • Chung cư,14 tỷ,171 tr/m²,82 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"14,5 tỷ",193 tr/m²,75 m²,Tp Hồ Chí Minh
8 PN • Nhà biệt thự,45 tỷ,225 tr/m²,200 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","6,3 tỷ",119 tr/m²,53 m²,Tp Hồ Chí Minh
"8 PN • Hướng Đông Nam • Nhà ngõ, hẻm","9,2 tỷ",153 tr/m²,60 m²,Tp Hồ Chí Minh
3 PN • Hướng Đông Bắc • Nhà biệt thự,10 tỷ,17 tr/m²,606 m²,Khánh Hòa
"3 PN • Nhà ngõ, hẻm","6,3 tỷ",56 tr/m²,112 m²,Tp Hồ Chí Minh
Đất thổ cư,"5,9 tỷ",24 tr/m²,250 m²,Long An
"4 PN • Nhà ngõ, hẻm","5,6 tỷ",93 tr/m²,60 m²,Tp Hồ Chí Minh
5 PN • Nhà phố liền kề,"6,45 tỷ",124 tr/m²,52 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,8 tỷ",79 tr/m²,61 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông Bắc • Nhà mặt phố, mặt tiền","1,2 tỷ",17 tr/m²,70 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm","5,6 tỷ",69 tr/m²,81 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"1,6 tỷ",37 tr/m²,44 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,4 tỷ",176 tr/m²,25 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 65 m,"36,6 tỷ","3,9 tr/m²",9420 m²,Đồng Nai
Đất thổ cư • Ngang 12 m,"9,3 tỷ",14 tr/m²,670 m²,Cần Thơ
Đất thổ cư,"7,9 tỷ","1,9 tr/m²",4062 m²,Đồng Nai
2 PN • Chung cư,"1,1 tỷ",22 tr/m²,51 m²,Đà Nẵng
"3 PN • Nhà ngõ, hẻm",12 tỷ,66 tr/m²,182 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 25 m,"4,7 tỷ",6 tr/m²,786 m²,Tp Hồ Chí Minh
5 PN • Nhà phố liền kề,"13,2 tỷ",264 tr/m²,50 m²,Hà Nội
"1 PN • Nhà ngõ, hẻm","1,15 tỷ",50 tr/m²,23 m²,Hà Nội
Đất nông nghiệp • Ngang 120 m,30 tỷ,30000 m²,,Đồng Nai
"1 PN • Nhà ngõ, hẻm","3,45 tỷ",101 tr/m²,34 m²,Hà Nội
5 PN • Hướng Tây Bắc • Nhà biệt thự,"23,8 tỷ",107 tr/m²,223 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","5,4 tỷ",169 tr/m²,32 m²,Tp Hồ Chí Minh
"1 PN • Nhà ngõ, hẻm","1,42 tỷ",41 tr/m²,35 m²,Tp Hồ Chí Minh
"10 PN • Nhà ngõ, hẻm","7,85 tỷ",46 tr/m²,172 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 15 m,670 triệu,"1,3 tr/m²",509 m²,Tiền Giang
5 PN • Nhà biệt thự,24 tỷ,150 tr/m²,160 m²,Tp Hồ Chí Minh
3 PN • Hướng Đông • Nhà phố liền kề,"1,5 tỷ",63 tr/m²,24 m²,Tp Hồ Chí Minh
Đất nền dự án • Ngang 4.5 m,2 tỷ,20 tr/m²,100 m²,Long An
2 PN • Hướng Đông • Chung cư,"2,65 tỷ",45 tr/m²,59 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 24 m,"1,35 tỷ","1,3 tr/m²",1063 m²,Tiền Giang
3 PN • Chung cư,"5,7 tỷ",56 tr/m²,102 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4 m,"4,2 tỷ",79 tr/m²,53 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",6 tỷ,150 tr/m²,40 m²,Tp Hồ Chí Minh
8 PN • Hướng Bắc • Nhà phố liền kề,"9,8 tỷ",196 tr/m²,50 m²,Hà Nội
Mặt bằng kinh doanh • Nội thất đầy đủ,20 tỷ,52 m²,,Tp Hồ Chí Minh
